"","pobs","influx","outflux","ainb","aout","fico"
"AS_EM",0.833333333333333,0.158653846153846,0.815217391304348,0.673469387755102,0.306122448979592,1
"AS_LC",0.666666666666667,0.3125,0.619565217391304,0.663265306122449,0.290816326530612,1
"AS_LX",0.666666666666667,0.3125,0.619565217391304,0.663265306122449,0.290816326530612,1
"AS_TE",0.666666666666667,0.3125,0.619565217391304,0.663265306122449,0.290816326530612,1
"AS_PA",0.666666666666667,0.3125,0.619565217391304,0.663265306122449,0.290816326530612,1
"AS_RL",0.333333333333333,0.629807692307692,0.25,0.668367346938776,0.23469387755102,1
"AS_CS",0.333333333333333,0.629807692307692,0.25,0.668367346938776,0.23469387755102,1
"AS_DM",0.5,0.528846153846154,0.565217391304348,0.748299319727891,0.353741496598639,1
"AS_VD",0.333333333333333,0.682692307692308,0.369565217391304,0.724489795918367,0.346938775510204,1
"AS_RD",0.333333333333333,0.629807692307692,0.25,0.668367346938776,0.23469387755102,1
"AS_TR",0.5,0.528846153846154,0.565217391304348,0.748299319727891,0.353741496598639,1
"CH_CM",1,0,1,0,0.312925170068027,1
"CH_PA",1,0,1,0,0.312925170068027,1
"CH_PT",1,0,1,0,0.312925170068027,1
"CH_QT",1,0,1,0,0.312925170068027,1
"CH_FM",1,0,1,0,0.312925170068027,1
"CH_IE",1,0,1,0,0.312925170068027,1
"CH_IJ",0.833333333333333,0.158653846153846,0.815217391304348,0.673469387755102,0.306122448979592,1
"CH_DL",0.166666666666667,0.841346153846154,0.184782608695652,0.714285714285714,0.346938775510204,1
"CH_SB",0.166666666666667,0.841346153846154,0.184782608695652,0.714285714285714,0.346938775510204,1
"ED_AE",1,0,1,0,0.312925170068027,1
"ED_E1",0.333333333333333,0.625,0.239130434782609,0.663265306122449,0.224489795918367,1
"ED_E2",0.666666666666667,0.3125,0.619565217391304,0.663265306122449,0.290816326530612,1
"ED_IO",0.5,0.471153846153846,0.434782608695652,0.666666666666667,0.272108843537415,1
"ED_UF",0.833333333333333,0.158653846153846,0.815217391304348,0.673469387755102,0.306122448979592,1
"ED_UM",0.833333333333333,0.158653846153846,0.815217391304348,0.673469387755102,0.306122448979592,1
"ED_CI",0.833333333333333,0.158653846153846,0.815217391304348,0.673469387755102,0.306122448979592,1
"EP_EJ",0.5,0.466346153846154,0.423913043478261,0.659863945578231,0.26530612244898,1
"EP_EP",1,0,1,0,0.312925170068027,1
"EP_JP",1,0,1,0,0.312925170068027,1
"EP_LP",1,0,1,0,0.312925170068027,1
"EP_IT",0.333333333333333,0.6875,0.380434782608696,0.729591836734694,0.357142857142857,1
"EP_QI",0.5,0.475961538461538,0.445652173913043,0.673469387755102,0.27891156462585,1
"EP_PJ",0.333333333333333,0.629807692307692,0.25,0.668367346938776,0.23469387755102,1
"EP_SG",0.5,0.475961538461538,0.445652173913043,0.673469387755102,0.27891156462585,1
"EP_PS",0.5,0.475961538461538,0.445652173913043,0.673469387755102,0.27891156462585,1
"EP_EG",0.5,0.475961538461538,0.445652173913043,0.673469387755102,0.27891156462585,1
"EP_GE",0.5,0.475961538461538,0.445652173913043,0.673469387755102,0.27891156462585,1
"IF_AT_FI",1,0,1,0,0.312925170068027,1
"IF_QT",1,0,1,0,0.312925170068027,1
"IF_CR",1,0,1,0,0.312925170068027,1
"IF_CS",0.666666666666667,0.3125,0.619565217391304,0.663265306122449,0.290816326530612,1
"IF_DV",1,0,1,0,0.312925170068027,1
"IF_EL_FI",0.666666666666667,0.3125,0.619565217391304,0.663265306122449,0.290816326530612,1
"IF_I1",1,0,1,0,0.312925170068027,1
"IF_I2",1,0,1,0,0.312925170068027,1
"IF_QR",0.833333333333333,0.158653846153846,0.815217391304348,0.673469387755102,0.306122448979592,1
"IF_FO",0.5,0.475961538461538,0.445652173913043,0.673469387755102,0.27891156462585,1
"IN_IF",0.5,0.471153846153846,0.434782608695652,0.666666666666667,0.272108843537415,1
"IN_PF",0.833333333333333,0.158653846153846,0.815217391304348,0.673469387755102,0.306122448979592,1
"IN_BC",0.833333333333333,0.183710226135681,0.859418070444104,0.68,0.415703703703704,1
"IN_IN",0.666666666666667,0.297178306984191,0.611332312404288,0.55,0.36962962962963,1
"IN_PC",0.166666666666667,0.816289773864319,0.140581929555896,0.604296296296296,0.34,1
"IN_TC",0,1,0,0.616913580246914,0,NA
"IN_AC",0,1,0,0.616913580246914,0,NA
"PM_PB_TM",1,0,1,0,0.403086419753086,1
"PM_PB_TX",1,0,1,0,0.403086419753086,1
"PM_FT",1,0,1,0,0.403086419753086,1
"PM_CR",0.166666666666667,0.810486291775065,0.131699846860643,0.6,0.318518518518519,1
"PM_QC",0.166666666666667,0.810486291775065,0.131699846860643,0.6,0.318518518518519,1
"PM_VC",0.166666666666667,0.810486291775065,0.131699846860643,0.6,0.318518518518519,1
"PM_IN",0.166666666666667,0.810486291775065,0.131699846860643,0.6,0.318518518518519,1
"SF_CI",1,0,1,0,0.403086419753086,1
"SF_RO",0.666666666666667,0.297178306984191,0.611332312404288,0.55,0.36962962962963,1
"SF_SF",1,0,1,0,0.403086419753086,1
"SF_SO",1,0,1,0,0.403086419753086,1
"SF_AU",1,0,1,0,0.403086419753086,1
"SF_RP",1,0,1,0,0.403086419753086,1
"SF_GP",0.833333333333333,0.156694016409846,0.818070444104135,0.58,0.395703703703704,1
"SF_IL",0.666666666666667,0.297178306984191,0.611332312404288,0.55,0.36962962962963,1
"SF_PC",0.833333333333333,0.156694016409846,0.818070444104135,0.58,0.395703703703704,1
"SP_JC",0.833333333333333,0.183710226135681,0.859418070444104,0.68,0.415703703703704,1
"SP_SC",0.833333333333333,0.140484290574345,0.793261868300153,0.52,0.383703703703704,1
"SP_CC",0.833333333333333,0.140484290574345,0.793261868300153,0.52,0.383703703703704,1
"SP_IH",0.666666666666667,0.340804482689614,0.678101071975498,0.630740740740741,0.41,1
"SP_MT",0.666666666666667,0.340804482689614,0.678101071975498,0.630740740740741,0.41,1
"SP_MO",0.833333333333333,0.156694016409846,0.818070444104135,0.58,0.395703703703704,1
"SP_SG",1,0,1,0,0.403086419753086,1
"SP_SP",1,0,1,0,0.403086419753086,1
"SP_QI",0.333333333333333,0.66499899939964,0.330781010719755,0.61537037037037,0.4,1
"SP_VS",0.166666666666667,0.810486291775065,0.131699846860643,0.6,0.318518518518519,1
"SS_AM",0.333333333333333,0.626776065639384,0.272281776416539,0.58,0.329259259259259,1
"SS_BE",0.666666666666667,0.318791274764859,0.644410413476263,0.59,0.38962962962963,1
"SS_DS",0.666666666666667,0.318791274764859,0.644410413476263,0.59,0.38962962962963,1
"SS_DS_AG",0.666666666666667,0.329597758655193,0.660949464012251,0.61,0.39962962962963,1
"SS_DS_ES",0.666666666666667,0.329597758655193,0.660949464012251,0.61,0.39962962962963,1
"SS_EV",0.666666666666667,0.340804482689614,0.678101071975498,0.630740740740741,0.41,1
"SS_FM",0.833333333333333,0.189513708224935,0.868300153139357,0.701481481481481,0.42,1
"SS_IE",0.833333333333333,0.189513708224935,0.868300153139357,0.701481481481481,0.42,1
"SS_IH",0.166666666666667,0.843305983590154,0.181929555895865,0.624296296296296,0.44,1
"SS_IJ",0.666666666666667,0.367820692415449,0.719448698315467,0.680740740740741,0.435,1
"SS_MA",0.666666666666667,0.340804482689614,0.678101071975498,0.630740740740741,0.41,1
"SS_MP",0.666666666666667,0.340804482689614,0.678101071975498,0.630740740740741,0.41,1
"SS_SI",0.666666666666667,0.340804482689614,0.678101071975498,0.630740740740741,0.41,1
"SS_DI",0.5,0.480888533119872,0.470750382848392,0.593333333333333,0.379506172839506,1
"SS_OI",0.5,0.480888533119872,0.470750382848392,0.593333333333333,0.379506172839506,1
"SS_CV",0.5,0.480888533119872,0.470750382848392,0.593333333333333,0.379506172839506,1
"SS_ER",0.333333333333333,0.637982789673804,0.289433384379786,0.59037037037037,0.35,1
"SS_TI",0.166666666666667,0.810486291775065,0.131699846860643,0.6,0.318518518518519,1
"SS_TE",0.166666666666667,0.810486291775065,0.131699846860643,0.6,0.318518518518519,1
"...103",0.0123456790123457,0.985591354812888,0.00918836140888208,0.615625,0.3,1
