"","coluna1","coluna2","coluna3","coluna4","coluna5","media","peso","operador"
"1",1,1,1,1,1,1,1,1
"2",2,1,1,1,1,1,1,1
"3",3,1,1,1,1,1,1,1
"4",1,2,1,1,1,1,1,1
"5",2,2,1,1,1,1,1,1
"6",3,2,1,1,1,2,1,1
"7",1,3,1,1,1,1,1,1
"8",2,3,1,1,1,2,1,1
"9",3,3,1,1,1,2,1,1
"10",1,1,2,1,1,1,1,1
"11",2,1,2,1,1,1,1,1
"12",3,1,2,1,1,2,1,1
"13",1,2,2,1,1,1,1,1
"14",2,2,2,1,1,2,1,1
"15",3,2,2,1,1,2,1,1
"16",1,3,2,1,1,2,1,1
"17",2,3,2,1,1,2,1,1
"18",3,3,2,1,1,2,1,1
"19",1,1,3,1,1,1,1,1
"20",2,1,3,1,1,2,1,1
"21",3,1,3,1,1,2,1,1
"22",1,2,3,1,1,2,1,1
"23",2,2,3,1,1,2,1,1
"24",3,2,3,1,1,2,1,1
"25",1,3,3,1,1,2,1,1
"26",2,3,3,1,1,2,1,1
"27",3,3,3,1,1,2,1,1
"28",1,1,1,2,1,1,1,1
"29",2,1,1,2,1,1,1,1
"30",3,1,1,2,1,2,1,1
"31",1,2,1,2,1,1,1,1
"32",2,2,1,2,1,2,1,1
"33",3,2,1,2,1,2,1,1
"34",1,3,1,2,1,2,1,1
"35",2,3,1,2,1,2,1,1
"36",3,3,1,2,1,2,1,1
"37",1,1,2,2,1,1,1,1
"38",2,1,2,2,1,2,1,1
"39",3,1,2,2,1,2,1,1
"40",1,2,2,2,1,2,1,1
"41",2,2,2,2,1,2,1,1
"42",3,2,2,2,1,2,1,1
"43",1,3,2,2,1,2,1,1
"44",2,3,2,2,1,2,1,1
"45",3,3,2,2,1,2,1,1
"46",1,1,3,2,1,2,1,1
"47",2,1,3,2,1,2,1,1
"48",3,1,3,2,1,2,1,1
"49",1,2,3,2,1,2,1,1
"50",2,2,3,2,1,2,1,1
"51",3,2,3,2,1,2,1,1
"52",1,3,3,2,1,2,1,1
"53",2,3,3,2,1,2,1,1
"54",3,3,3,2,1,2,1,1
"55",1,1,1,3,1,1,1,1
"56",2,1,1,3,1,2,1,1
"57",3,1,1,3,1,2,1,1
"58",1,2,1,3,1,2,1,1
"59",2,2,1,3,1,2,1,1
"60",3,2,1,3,1,2,1,1
"61",1,3,1,3,1,2,1,1
"62",2,3,1,3,1,2,1,1
"63",3,3,1,3,1,2,1,1
"64",1,1,2,3,1,2,1,1
"65",2,1,2,3,1,2,1,1
"66",3,1,2,3,1,2,1,1
"67",1,2,2,3,1,2,1,1
"68",2,2,2,3,1,2,1,1
"69",3,2,2,3,1,2,1,1
"70",1,3,2,3,1,2,1,1
"71",2,3,2,3,1,2,1,1
"72",3,3,2,3,1,2,1,1
"73",1,1,3,3,1,2,1,1
"74",2,1,3,3,1,2,1,1
"75",3,1,3,3,1,2,1,1
"76",1,2,3,3,1,2,1,1
"77",2,2,3,3,1,2,1,1
"78",3,2,3,3,1,2,1,1
"79",1,3,3,3,1,2,1,1
"80",2,3,3,3,1,2,1,1
"81",3,3,3,3,1,3,1,1
"82",1,1,1,1,2,1,1,1
"83",2,1,1,1,2,1,1,1
"84",3,1,1,1,2,2,1,1
"85",1,2,1,1,2,1,1,1
"86",2,2,1,1,2,2,1,1
"87",3,2,1,1,2,2,1,1
"88",1,3,1,1,2,2,1,1
"89",2,3,1,1,2,2,1,1
"90",3,3,1,1,2,2,1,1
"91",1,1,2,1,2,1,1,1
"92",2,1,2,1,2,2,1,1
"93",3,1,2,1,2,2,1,1
"94",1,2,2,1,2,2,1,1
"95",2,2,2,1,2,2,1,1
"96",3,2,2,1,2,2,1,1
"97",1,3,2,1,2,2,1,1
"98",2,3,2,1,2,2,1,1
"99",3,3,2,1,2,2,1,1
"100",1,1,3,1,2,2,1,1
"101",2,1,3,1,2,2,1,1
"102",3,1,3,1,2,2,1,1
"103",1,2,3,1,2,2,1,1
"104",2,2,3,1,2,2,1,1
"105",3,2,3,1,2,2,1,1
"106",1,3,3,1,2,2,1,1
"107",2,3,3,1,2,2,1,1
"108",3,3,3,1,2,2,1,1
"109",1,1,1,2,2,1,1,1
"110",2,1,1,2,2,2,1,1
"111",3,1,1,2,2,2,1,1
"112",1,2,1,2,2,2,1,1
"113",2,2,1,2,2,2,1,1
"114",3,2,1,2,2,2,1,1
"115",1,3,1,2,2,2,1,1
"116",2,3,1,2,2,2,1,1
"117",3,3,1,2,2,2,1,1
"118",1,1,2,2,2,2,1,1
"119",2,1,2,2,2,2,1,1
"120",3,1,2,2,2,2,1,1
"121",1,2,2,2,2,2,1,1
"122",2,2,2,2,2,2,1,1
"123",3,2,2,2,2,2,1,1
"124",1,3,2,2,2,2,1,1
"125",2,3,2,2,2,2,1,1
"126",3,3,2,2,2,2,1,1
"127",1,1,3,2,2,2,1,1
"128",2,1,3,2,2,2,1,1
"129",3,1,3,2,2,2,1,1
"130",1,2,3,2,2,2,1,1
"131",2,2,3,2,2,2,1,1
"132",3,2,3,2,2,2,1,1
"133",1,3,3,2,2,2,1,1
"134",2,3,3,2,2,2,1,1
"135",3,3,3,2,2,3,1,1
"136",1,1,1,3,2,2,1,1
"137",2,1,1,3,2,2,1,1
"138",3,1,1,3,2,2,1,1
"139",1,2,1,3,2,2,1,1
"140",2,2,1,3,2,2,1,1
"141",3,2,1,3,2,2,1,1
"142",1,3,1,3,2,2,1,1
"143",2,3,1,3,2,2,1,1
"144",3,3,1,3,2,2,1,1
"145",1,1,2,3,2,2,1,1
"146",2,1,2,3,2,2,1,1
"147",3,1,2,3,2,2,1,1
"148",1,2,2,3,2,2,1,1
"149",2,2,2,3,2,2,1,1
"150",3,2,2,3,2,2,1,1
"151",1,3,2,3,2,2,1,1
"152",2,3,2,3,2,2,1,1
"153",3,3,2,3,2,3,1,1
"154",1,1,3,3,2,2,1,1
"155",2,1,3,3,2,2,1,1
"156",3,1,3,3,2,2,1,1
"157",1,2,3,3,2,2,1,1
"158",2,2,3,3,2,2,1,1
"159",3,2,3,3,2,3,1,1
"160",1,3,3,3,2,2,1,1
"161",2,3,3,3,2,3,1,1
"162",3,3,3,3,2,3,1,1
"163",1,1,1,1,3,1,1,1
"164",2,1,1,1,3,2,1,1
"165",3,1,1,1,3,2,1,1
"166",1,2,1,1,3,2,1,1
"167",2,2,1,1,3,2,1,1
"168",3,2,1,1,3,2,1,1
"169",1,3,1,1,3,2,1,1
"170",2,3,1,1,3,2,1,1
"171",3,3,1,1,3,2,1,1
"172",1,1,2,1,3,2,1,1
"173",2,1,2,1,3,2,1,1
"174",3,1,2,1,3,2,1,1
"175",1,2,2,1,3,2,1,1
"176",2,2,2,1,3,2,1,1
"177",3,2,2,1,3,2,1,1
"178",1,3,2,1,3,2,1,1
"179",2,3,2,1,3,2,1,1
"180",3,3,2,1,3,2,1,1
"181",1,1,3,1,3,2,1,1
"182",2,1,3,1,3,2,1,1
"183",3,1,3,1,3,2,1,1
"184",1,2,3,1,3,2,1,1
"185",2,2,3,1,3,2,1,1
"186",3,2,3,1,3,2,1,1
"187",1,3,3,1,3,2,1,1
"188",2,3,3,1,3,2,1,1
"189",3,3,3,1,3,3,1,1
"190",1,1,1,2,3,2,1,1
"191",2,1,1,2,3,2,1,1
"192",3,1,1,2,3,2,1,1
"193",1,2,1,2,3,2,1,1
"194",2,2,1,2,3,2,1,1
"195",3,2,1,2,3,2,1,1
"196",1,3,1,2,3,2,1,1
"197",2,3,1,2,3,2,1,1
"198",3,3,1,2,3,2,1,1
"199",1,1,2,2,3,2,1,1
"200",2,1,2,2,3,2,1,1
"201",3,1,2,2,3,2,1,1
"202",1,2,2,2,3,2,1,1
"203",2,2,2,2,3,2,1,1
"204",3,2,2,2,3,2,1,1
"205",1,3,2,2,3,2,1,1
"206",2,3,2,2,3,2,1,1
"207",3,3,2,2,3,3,1,1
"208",1,1,3,2,3,2,1,1
"209",2,1,3,2,3,2,1,1
"210",3,1,3,2,3,2,1,1
"211",1,2,3,2,3,2,1,1
"212",2,2,3,2,3,2,1,1
"213",3,2,3,2,3,3,1,1
"214",1,3,3,2,3,2,1,1
"215",2,3,3,2,3,3,1,1
"216",3,3,3,2,3,3,1,1
"217",1,1,1,3,3,2,1,1
"218",2,1,1,3,3,2,1,1
"219",3,1,1,3,3,2,1,1
"220",1,2,1,3,3,2,1,1
"221",2,2,1,3,3,2,1,1
"222",3,2,1,3,3,2,1,1
"223",1,3,1,3,3,2,1,1
"224",2,3,1,3,3,2,1,1
"225",3,3,1,3,3,3,1,1
"226",1,1,2,3,3,2,1,1
"227",2,1,2,3,3,2,1,1
"228",3,1,2,3,3,2,1,1
"229",1,2,2,3,3,2,1,1
"230",2,2,2,3,3,2,1,1
"231",3,2,2,3,3,3,1,1
"232",1,3,2,3,3,2,1,1
"233",2,3,2,3,3,3,1,1
"234",3,3,2,3,3,3,1,1
"235",1,1,3,3,3,2,1,1
"236",2,1,3,3,3,2,1,1
"237",3,1,3,3,3,3,1,1
"238",1,2,3,3,3,2,1,1
"239",2,2,3,3,3,3,1,1
"240",3,2,3,3,3,3,1,1
"241",1,3,3,3,3,3,1,1
"242",2,3,3,3,3,3,1,1
"243",3,3,3,3,3,3,1,1
